q_FormDataId,q_63,q_83,School,Grade,Sex,APS45,APSVNEN,RankingF,NumberofChi,Readbook,Topic,FutureJob_VN,FutureJob_VN (translated),CareerFat,CareerFat (translated),CarFatGr,AgeFat,EduFat,CareerMot,CareerMot (translated),CarMotGr,AgeMot,EduMot,EcoStt,KnowledgeInc,EstIncome,Buybook,Hobby,TimeSci,TimeSoc,Readstory,Typebook,Typebook_Other,Reason,Source,PrioAct,AftAct,Read_like,EncourAct,MostlikedAct,Bookcase,Notread_like
446,4.328,43075,2,8,Female,7,0,3,3,yes,d,Bác sĩ,Doctor,Làm ruộng,Farmer,Labor,48,UnderHi,Làm ruộng,Farmer,Labor,NA,UnderHi,med,no,NA,no,e,1,1,no,c,NA,a,borrow,a,a,NA,yes,a,c,"Khám phá vũ trụ
Những cuộc phiêu lưu
Câu đố dân gian"
447,4.329,43075,2,8,Female,9,0,1,2,no,f,kiến trúc sư,Architect,giáo viên,Teacher,Intellectuals,40,Uni,Giáo viên,Teacher,Intellectuals,39,Uni,med,yes,5000000,no,e,1,1,no,d,NA,d,borrow,c,d,"Shin cậu bé bút chì
Cô nan",yes,a,b,"Khám phá thế giới
Truyện phiêu lưu
Đô rê mon"
448,4.33,43075,2,8,Female,8.5,0,2,3,yes,b,Giáo viên dạy Văn,Teacher,làm ruộng,Farmer,Labor,45,UnderHi,Công nhân,Worker,Labor,33,UnderHi,med,no,NA,yes,c,2,2,no,a,NA,a,borrow,a,c,NA,yes,b,c,NA
449,4.331,43075,2,8,Male,8,0,2,2,yes,b,công nhân,Worker,Làm ruộng,Farmer,Labor,44,UnderHi,Làm ruộng,Farmer,Labor,40,UnderHi,med,no,NA,yes,b,2,2,no,a,NA,a,borrow,a,a,"Cô nan
Đô rê mon",yes,a,b,"Sherlock Homes
Dragon ball
Shin cậu bé bút chì"
450,4.332,43075,2,8,Female,8,0,1,4,yes,b,bác sĩ,Doctor,làm ruộng,Farmer,Labor,39,UnderHi,Làm ruộng,Farmer,Labor,38,UnderHi,med,no,NA,yes,b,2,2,no,a,NA,a,borrow,a,a,"Cô nan
Shin cậu bé bút chì",yes,a,c,"Câu đố dân gian
Dragon ball super
Sherlock Homes"
451,4.333,43075,2,8,Male,8.6,0,2,2,yes,b,luật sư,Lawyer,Làm ruộng,Farmer,Labor,49,Hi,Làm ruộng,Farmer,Labor,43,Hi,med,no,NA,no,d,1,1,no,a,NA,a,borrow,d,a,"Lịch sử và địa lý
Tiểu thuyết",yes,a,c,"TRuyện trinh thám
Khám phá khoa học
Văn học xã hội"
452,4.334,43075,2,8,Female,8.5,0,1,4,yes,a,kinh doanh,Businessman,làm ruộng,Farmer,Labor,39,UnderHi,Làm ruộng,Farmer,Labor,35,Hi,med,no,NA,yes,f,1,2,no,b,NA,a,buy,a,a,"Cô nan
400 bài toán bồi dưỡng hs giỏi",yes,b,c,"Cô nan
Nâng cao môn toán và Vật lý
Sách bồi dưỡng cho hs giỏi"
453,4.335,43075,2,8,Female,9,0,2,2,yes,c,Hướng dẫn viên du lịch,Tour guide,làm ruộng,Farmer,Labor,50,Hi,Làm ruộng,Farmer,Labor,45,UnderHi,med,no,NA,yes,c,2,2,yes,e,NA,a,borrow,d,d,"Báo Thiếu niên
Shin cậu bé bút chì",yes,a,c,"Đô rê mon
Cô nan
Truyện cổ tích"
454,4.336,43075,2,8,Female,9,0,3,4,yes,b,Bác sĩ,Doctor,làm ruộng,Farmer,Labor,40,UnderHi,Làm ruộng,Farmer,Labor,37,UnderHi,med,no,NA,yes,b,1,1,no,e,NA,a,borrow,a,a,"shin cậu bé bút chì
Đô rê mon",yes,b,c,"Đô rê mon
Cô nan
shin cậu bé bút chì"
455,4.337,43075,2,8,Male,8,0,1,2,yes,f,chính trị gia,Politician,kinh doanh,Businessman,Labor,40,Hi,giáo viên,Teacher,Intellectuals,36,Uni,med,no,NA,yes,b,2,1,no,f,Truyện tranh,a,buy,d,a,"Đô rê mon
Cô nan",yes,NA,c,"Tin học kỹ thuật
Dragon ball
Khám phá khoa học"
456,4.338,43075,2,8,Female,8,0,1,3,yes,b,nhạc sĩ,Songwriter,làm ruộng,Farmer,Labor,35,UnderHi,Làm ruộng,Farmer,Labor,33,UnderHi,med,no,NA,yes,b,2,2,no,a,NA,a,borrow,d,d,"cô nan 
Đô rê mon",yes,d,c,"sách khám phá đời sống tự nhiên
Văn học xã hôik
truyện trinh thám"
457,4.339,43075,2,8,Female,9,0,1,2,yes,e,nhân viên ngân hàng,Banker,làm ruộng,Farmer,Labor,38,UnderHi,Làm ruộng,Farmer,Labor,37,UnderHi,med,no,NA,no,b,1,1,no,f,tiểu thuyết,a,borrow,a,a,"Cô nan
Tiểu thuyết ngôn tình",yes,a,c,"Truyện trinh thám
Truyện cười
Sách khám phá về nghề nghiệp"
458,4.34,43075,2,8,Female,9,0,4,6,no,NA,diễn viên,Actor,Làm ruộng,Farmer,Labor,45,UnderHi,làm ruộng,Farmer,Labor,45,UnderHi,med,no,NA,no,b,1,1,no,f,Truyện tranh,a,borrow,c,a,"Đô rê mon
Shin cậu bé bút chì",yes,a,b,"câu đố dân gian
TRuyện cười
Cô nan"
459,4.341,43075,2,8,Male,7,0,2,3,yes,d,Kỹ sư ( cơ khí chế tạo),Engineer,Công nhân,Worker,Labor,42,UnderHi,Làm ruộng,Farmer,Labor,36,Hi,med,no,NA,no,b,1,1,no,f,truyện cười,a,borrow,a,d,"cô nan
Đô rêmon",yes,a,c,"khám phá rừng xanh
TRuyện cười
Câu đố"
460,4.342,43075,2,8,Female,9,0,2,2,yes,d,kinh doanh,Businessman,kinh doanh,Businessman,Labor,40,UnderHi,Công nhân,Worker,Labor,38,UnderHi,med,no,NA,no,b,1,1,no,c,NA,a,borrow,d,a,"cônan
Sách khoa học xã hội",yes,a,c,"shin cậu bé bút chì
cô  nan
truyện dân gian"
461,4.343,43075,2,8,Female,8,0,2,3,yes,b,Giáo viên,Teacher,làm ruộng,Farmer,Labor,45,UnderHi,Làm ruộng,Farmer,Labor,43,UnderHi,med,no,NA,yes,e,1,2,yes,f,Truyện tranh,a,borrow,a,a,"shin cậu bé bút chì
cô nan",yes,a,c,"Đô rê mon
Câu đố dân gian
Đô rê mon"
462,4.344,43075,2,8,Female,7.5,0,0,0,yes,f,Tiếp viên Hàng Không,Flight attendant,làm ruộng,Farmer,Labor,38,UnderHi,Làm ruộng,Farmer,Labor,38,UnderHi,med,no,NA,no,b,1,1,no,f,Truyện tranh,b,borrow,a,a,"cô nan
Đô rê mon",yes,a,c,"Truyện cười
Câu đố dân gian
câu đố dân gian"
463,4.347,43075,2,8,Female,8,0,1,2,yes,d,Bác sĩ,Doctor,làm ruộng,Farmer,Labor,36,UnderHi,Làm ruộng,Farmer,Labor,36,UnderHi,med,yes,NA,yes,e,1,1,yes,f,Truyện tranh,a,buy,d,a,"Truyện trinh thám
Sách nâng cao",yes,a,c,"đảo hải tặc
Câu đố dân gian
Dô rê mon"
464,4.348,43075,2,8,Female,8,0,2,2,yes,b,nhạc sĩ,Songwriter,làm ruộng,Farmer,Labor,38,UnderHi,Làm ruộng,Farmer,Labor,36,UnderHi,med,no,NA,yes,e,1,1,no,f,Truyện tranh,a,borrow,a,a,"cậu bé bút chì shin
đô rê mon",yes,a,b,"câu đố
đô re mon
shin"
465,4.349,43075,2,8,Female,9,0,1,4,yes,b,Giáo viên,Teacher,Làm ruộng,Farmer,Labor,38,UnderHi,Làm ruộng,Farmer,Labor,33,UnderHi,med,no,NA,yes,b,1,1,no,f,Truyện tranh,a,borrow,a,c,"TRuyện cổ tích sọ dừa
tấm cám",yes,a,c,"Truyện cười
Shin cậu bé bút chì
đô rê mon"
466,4.35,43075,2,8,Female,9,0,1,2,yes,b,Giáo viên,Teacher,Làm ruộng,Farmer,Labor,35,UnderHi,làm ruộng,Farmer,Labor,33,UnderHi,med,no,NA,yes,e,1,1,no,f,tiểu thuyết,a,borrow,d,d,"tấm cám
bảy viên ngọc rồng",yes,a,NA,"đô rê mon
Cho tôi xin một vé đi tuổi thơ"
467,4.351,43075,2,8,Male,8,0,1,2,yes,f,Vận động viên,Athlete,Công nhân,Worker,Labor,36,UnderHi,giáo viên,Teacher,Intellectuals,32,Uni,med,no,NA,no,b,1,1,no,f,Truyện tranh,a,buy,a,d,"Dragon ball
Đô rê mon",no,NA,c,"Harry poster 
Co nan
Shin câu bé bút chì"
468,4.352,43075,2,8,Female,8,0,2,3,yes,b,Tiếp viên Hàng Không,Flight attendant,Làm ruộng,Farmer,Labor,40,UnderHi,Làm ruộng,Farmer,Labor,37,Hi,med,no,NA,yes,b,1,2,no,a,NA,a,borrow,a,c,"Đô rê mon
Shin",yes,NA,c,"khám phá thế giới
Đô rê mon
Shin"
469,4.353,43075,2,8,Male,6.2,0,2,2,yes,c,phiên dịch viên tiếng Anh,Interpreter,làm ruộng,Farmer,Labor,41,UnderHi,Công nhân,Worker,Labor,40,UnderHi,med,no,NA,yes,f,2,1,no,c,NA,a,buy,a,a,"Đô rê mon
sách về vũ trụ",yes,b,c,"Sách tìm hiểu tự nhiên vũ trụ
Dế mèn phiêu lưu ký
Đô rê mon"
470,4.354,43075,2,8,Female,7,0,1,2,yes,e,nhân viên văn phòng,Employee,làm ruộng ( đã mất),Farmer,Labor,NA,NA,Làm ruộng,Farmer,Labor,45,UnderHi,poor,no,NA,yes,f,2,1,no,e,NA,a,buy,d,b,Sách văn học xã hội,yes,b,c,"Sách tham khảo
Sách nâng cao"
471,4.355,43075,2,8,Male,5.25,0,1,2,no,NA,công nhân,Worker,Công nhân,Worker,Labor,39,UnderHi,Công nhân,Worker,Labor,35,UnderHi,med,no,NA,yes,b,1,1,no,e,NA,a,borrow,b,d,"will
Đô rê mon",no,NA,b,"Truyện cười
Dragon ball
Shin"
472,4.356,43075,2,8,Female,6.5,0,2,2,yes,d,Bác sĩ,Doctor,làm ruộng ( đã mất),Farmer,Labor,NA,NA,Làm ruộng,Farmer,Labor,45,UnderHi,med,no,NA,yes,b,1,1,no,e,NA,a,buy,a,a,"Cô nan
Đô rê mon",yes,b,c,"Những câu đố hay
Đô rê mon"
473,4.357,43075,2,8,Female,5.5,0,2,5,yes,a,công nhân,Worker,Làm thợ,Worker,Labor,41,UnderHi,Làm ruộng,Farmer,Labor,39,UnderHi,med,no,NA,yes,c,2,1,no,d,NA,a,buy,a,a,"Tấm cám
Đánh nhau với cối xay gió",yes,c,c,"Truyện cổ tích
Truyện cười
Truyện ngụ ngôn"
474,4.358,43075,2,8,Male,7.5,0,5,5,yes,b,phi công,Pilot,kinh doanh,Businessman,Labor,48,UnderHi,kinh doanh,Businessman,Labor,46,UnderHi,med,no,NA,yes,b,1,1,no,a,NA,a,borrow,b,d,"Truyện ngôn tình
Shin cậu bé bút chì",yes,d,b,"Dế mèn
Truyện cổ tích
Đô rê mon"
475,4.359,43075,2,8,Male,6.3,0,2,2,yes,f,công nhân,Worker,làm ruộng,Farmer,Labor,43,UnderHi,Làm ruộng,Farmer,Labor,40,UnderHi,med,no,NA,yes,b,1,3,no,d,NA,c,buy,a,b,"Cô nan
Đô rê mon",yes,d,c,"Truyện cổ tích
Truyện ngụ ngôn
Truyện cười"
476,4.36,43075,2,8,Female,6.2,0,4,4,yes,f,Họa sĩ,Painter,làm ruộng,Farmer,Labor,53,UnderHi,Làm ruộng,Farmer,Labor,59,UnderHi,med,no,NA,yes,b,1,1,no,d,NA,a,buy,a,d,"Cô nan
Cậu bé bút chì",yes,d,c,"Cổ tích
Cười
Ngụ ngôn"
477,4.361,43075,2,8,Female,5.5,0,7,7,yes,a,phi công,Pilot,Làm ruộng,Farmer,Labor,45,UnderHi,Làm ruộng,Farmer,Labor,45,UnderHi,med,no,NA,yes,b,2,1,no,e,NA,a,buy,a,a,"Đô rê mon
Shin cậu bé bút chì",no,NA,b,"Truyện cổ tích
Truyện cười
Cô nan"
478,4.087,43075,2,9,Male,8,0,2,2,yes,e,kiến trúc sư,Architect,Làm ruộng,Farmer,Labor,46,Hi,Làm ruộng,Farmer,Labor,45,Hi,med,no,NA,yes,b,2,NA,no,f,truyện cười,a,borrow,c,d,Bảy người con gái năm xưa,yes,a,c,NA
479,9.016,43073,9,6,Female,8,0,1,2,yes,c,Giáo viên,Teacher,Công nhân,Worker,Labor,42,UnderHi,Công nhân,Worker,Labor,32,UnderHi,med,no,NA,yes,a,1,1,yes,a,NA,c,borrow,a,d,"Tôi muốn biết cái gì
Quà tặng cuộc sống",yes,d,a,"Tấm gương đạo đức bác hồ
Dế mèn phiêu lưu ký
Tấm cám"
480,9.001,43073,9,6,Male,8,0,3,3,yes,d,công nhân,Worker,Làm thợ,Worker,Labor,48,UnderHi,Công nhân,Worker,Labor,45,UnderHi,med,no,NA,yes,b,3,2,yes,c,NA,a,borrow,a,a,"Quà Tặng cuộc sống
Sáng chế công cụ",yes,d,a,"Kỹ năng đánh bóng bàn, bóng rổ
Đô rê mon"
481,9.013,43073,9,6,Female,6.5,0,2,2,yes,a,thợ may,Worker,thất nghiệp,Unemployed,Labor,37,UnderHi,Công nhân,Worker,Labor,36,UnderHi,rich,no,NA,yes,d,1,1,yes,e,NA,a,gift,a,a,NA,yes,c,a,NA
482,9.014,43073,9,6,Male,7,0,3,3,yes,a,công nhân,Worker,Làm thợ,Worker,Labor,75,UnderHi,Làm ruộng,Farmer,Labor,67,UnderHi,med,no,3000000,yes,a,1,1,no,b,NA,a,borrow,a,d,"Chìa khóa vàng toán học
Câu chuyện cuộc sống",yes,a,a,"Kỹ năng chơi bóng rổ
Dế mèn phiêu lưu ký
Thế giới động vật"
483,9.004,43073,9,6,Male,8,0,3,3,yes,b,bác sĩ,Doctor,làm ruộng,Farmer,Labor,43,UnderHi,Làm ruộng,Farmer,Labor,40,UnderHi,med,no,NA,yes,c,2,3,yes,a,NA,a,borrow,a,a,"Quà tặng cuộc sống
Kỹ năng đánh bóng bàn",yes,b,a,"Kỹ năng : chơi bóng bàn, bóng rổ , môn thể thao trí tuệ cờ vua"
484,9.011,43073,9,6,Female,5,0,1,2,yes,a,bác sĩ,Doctor,Làm thợ,Worker,Labor,30,UnderHi,Công nhân,Worker,Labor,30,UnderHi,med,no,NA,yes,a,1,1,no,b,NA,d,borrow,a,d,Danh nhân việt  nam,yes,b,a,"Quà tặng cuộc sống
Kỹ năng đánh bóng rổ
Cô bé lọ lem"
485,9.03,43073,9,6,Male,8,0,3,3,yes,a,Công an,Police officer,làm ruộng,Farmer,Labor,46,UnderHi,Làm ruộng,Farmer,Labor,40,UnderHi,rich,no,NA,yes,c,2,2,no,e,NA,a,borrow,a,a,"Chìa khóa vàng 
Quà tặng cuộc sống",yes,d,a,"An Dương Vương
Cô bé lọ lem
Khám phá thế giới"
486,9.002,43073,9,6,Female,8,0,1,2,yes,c,giáo viên,Teacher,Làm thợ,Worker,Labor,40,UnderHi,Công nhân,Worker,Labor,41,Uni,rich,no,NA,no,c,1,2,no,a,NA,b,borrow,b,a,"Sáng tạo nghệ thuật
Quà tặng cuộc sống",yes,c,a,"Đo rê mon
Kỹ năng chơi bóng rổ
Thế giới động vật"
487,9.023,43073,9,6,Female,7,0,2,2,yes,b,ca sĩ,Singer,kinh doanh ( cá),Businessman,Labor,42,UnderHi,kinh doanh,Businessman,Labor,35,UnderHi,rich,no,NA,yes,b,2,1,yes,a,NA,a,borrow,a,d,"Chìa khóa vàng
Mặt nạ đen",yes,b,a,"Tấm Cám
Truyện cô gái đảm đang
Cô gái vàng"
488,9.024,43073,9,6,Male,7,0,4,4,yes,e,công nhân,Worker,Làm thợ,Worker,Labor,50,UnderHi,Công nhân,Worker,Labor,48,UnderHi,med,yes,NA,yes,b,1,1,NA,d,NA,a,borrow,c,a,"Mặt nạ nước da đen
Kỹ năng đánh bóng bàn",yes,d,a,"One piece
Naruto
Đô rê mon"
489,9.003,43073,9,6,Male,8,0,2,2,yes,e,nhà khoa học ( lịch sử),Scientist,Công nhân,Worker,Labor,41,Hi,Công nhân,Worker,Labor,37,UnderHi,med,no,NA,yes,a,3,2,yes,a,NA,d,borrow,d,a,"Thiên tài khoa học
Quà tặng cuộc sống",yes,b,a,"Vua biển cả
Thần đồng đất việt
Thời thơ ấu của Tomas Edison"
490,9.005,43073,9,6,Female,9,0,3,3,yes,b,ca sĩ,Singer,làm ruộng,Farmer,Labor,45,UnderHi,Công nhân,Worker,Labor,43,UnderHi,med,no,NA,yes,a,2,2,yes,d,NA,a,borrow,a,a,"Học để làm gì
Quà tặng cuộc sống",yes,b,a,"Kỹ năng chơi cầu lông
THế giới động vật
Dế mèn phiêu lưu ký"
491,9.006,43073,9,6,Male,8,0,2,2,yes,a,Công an,Police officer,làm ruộng,Farmer,Labor,37,UnderHi,Công nhân,Worker,Labor,33,UnderHi,poor,no,NA,yes,a,3,2,yes,a,NA,a,borrow,a,a,"Mẹ sẽ không lạnh nữa
Quà tặng cuộc sống",yes,b,a,"Lá phổi xanh của thế giới
Thế giới động vật
Dế mèn phiêu lưu ký"
492,9.026,43073,9,6,Female,8,0,2,2,yes,b,Giáo viên,Teacher,Công nhân,Worker,Labor,42,UnderHi,Công nhân,Worker,Labor,34,Hi,med,yes,7000000,yes,a,2,2,yes,a,NA,a,borrow,a,a,"Vũ trí nam
Người mặt nạ đen",yes,b,a,"Mùa châu chấu
Alibaba và 40 tên cướp
Truy tìm kho báu"
493,9.007,43073,9,6,Female,8,0,2,2,yes,a,Bác sĩ,Doctor,Công nhân,Worker,Labor,39,UnderHi,Công nhân,Worker,Labor,38,Hi,med,yes,8000000,yes,b,3,3,no,a,NA,a,buy,a,a,"Mùa Châu chấu
Lịch sử Việt nam bằng tranh",yes,d,a,"Đố vui dành cho học sinh cấp 2
Người khổng lồ
Danh ngôn về bác"
494,9.01,43073,9,6,Female,7,0,1,2,yes,f,giáo viên,Teacher,làm ruộng,Farmer,Labor,36,UnderHi,làm thợ,Worker,Labor,34,UnderHi,med,no,NA,yes,c,3,1,NA,e,NA,c,borrow,a,d,"Quà tặng cuộc sống
Bên bờ Thiêm mạc",yes,c,a,"100 câu đố hay nhất
Đô rê mon
Bạch Tuyết và bảy chú lùn"
495,9.012,43073,9,6,Male,7,0,1,2,yes,c,Cầu thủ,Footballer,Làm thợ,Worker,Labor,30,UnderHi,Công nhân,Worker,Labor,31,UnderHi,rich,yes,7000000,yes,a,1,1,yes,c,NA,c,borrow,a,d,"Quà Tặng cuộc sống
Mặt nạ đen",yes,a,a,"Cây bút thần
An Dương Vương"
496,9.009,43073,9,6,Female,7.5,0,2,2,yes,e,Bác sĩ,Doctor,làm ruộng,Farmer,Labor,38,UnderHi,Công nhân,Worker,Labor,36,UnderHi,med,no,NA,yes,a,2,1,yes,e,NA,d,borrow,a,b,"Chiếc lá thuộc bài
Quà tặng cuộc sống",yes,b,a,"Kỹ năng đánh cầu long
72 câu đố hay
Cô bé lọ lem"
497,9.027,43073,9,6,Female,8,0,1,3,yes,a,đầu bếp,Chef,Công nhân,Worker,Labor,42,UnderHi,Công nhân,Worker,Labor,31,UnderHi,med,no,NA,yes,a,2,1,yes,d,NA,c,borrow,a,a,Quà Tặng cuộc sống,yes,b,a,"Truyện cổ tích
Khám phá thế giới
Thế giới động vật"
498,9.029,43073,9,6,Male,8,0,1,3,yes,e,công nhân,Worker,Làm thợ,Worker,Labor,42,UnderHi,Công nhân,Worker,Labor,39,Hi,rich,yes,NA,yes,b,2,2,no,a,NA,a,borrow,b,b,"Chuyện kể Lý Tự Trọng
Người mặt nạ đen",yes,b,a,"An Dương Vương
Khám phá thế giới
Thế giới động vật"
499,9.015,43073,9,6,Female,8,0,2,2,yes,c,Giáo viên,Teacher,Công nhân,Worker,Labor,37,UnderHi,Công nhân,Worker,Labor,35,UnderHi,med,no,NA,yes,b,1,1,yes,a,NA,c,borrow,a,a,"Vượt lên số phận
Quà Tặng cuộc sống",yes,d,a,"Tôi muốn biết cái gì
Dế mèn phưu lưu ký
Quà tặng cuộc sống"
500,9.02,43073,9,6,Female,8,0,3,3,yes,b,giáo viên,Teacher,làm ruộng,Farmer,Labor,48,UnderHi,Công nhân,Worker,Labor,45,UnderHi,med,no,NA,yes,a,3,2,yes,a,NA,a,borrow,b,c,"Chìa khóa vàng
Quà tặng cuộc sống",yes,a,a,"Shin cậu bé bút chì
Cô nan
Đô rê mon"
501,9.019,43073,9,6,Male,7,0,1,4,yes,f,Công an,Police officer,nhân viên,Employee,Labor,37,UnderHi,kinh doanh ( ăn uống),Businessman,Labor,35,UnderHi,rich,no,NA,yes,b,1,2,yes,a,NA,a,borrow,a,a,"Kỹ năng đánh bóng bàn
Mặt nạ đen
Kỹ năng đánh bóng bàn",yes,b,a,"Bảy viên ngọc rồng
Thế giới động vật
Kỹ năng đánh cầu lông"
502,9.028,43073,9,6,Male,8,0,2,2,yes,d,Công an,Police officer,Lái xe,Driver,Labor,42,UnderHi,kinh doanh,Businessman,Labor,40,UnderHi,med,no,NA,yes,b,2,2,no,d,NA,a,borrow,a,a,NA,yes,d,a,"Ba chiếc rìu
Sự tích trái dứa thơm , trái xoài"
503,9.022,43073,9,6,Male,8,0,2,2,yes,d,Bộ đội,Soldier,Lái xe,Driver,Labor,37,UnderHi,Nhân viên,Employee,Labor,33,UnderHi,med,no,NA,no,f,1,1,no,e,NA,d,borrow,c,c,"Mặt nạ đen
Kỹ năng đánh bóng bàn",yes,c,a,"One piece
Bảy viên ngọc rồng
Đô rê mon"
504,9.008,43073,9,6,NA,7,0,1,2,yes,f,Thợ cơ khí,Engineer,Làm thợ,Worker,Labor,34,Hi,làm ruộng,Farmer,Labor,33,UnderHi,med,yes,5000000,yes,a,3,3,yes,d,NA,c,borrow,c,a,"Quà tặng cuộc sống
Dế mèn phiêu lưu ký",yes,c,a,"Ca dao tục ngữ
Truyện kể đêm khuya
Những câu đố hay"
505,9.021,43073,9,6,Male,8,0,2,2,yes,d,bác sĩ,Doctor,làm ruộng,Farmer,Labor,42,UnderHi,Công nhân,Worker,Labor,40,UnderHi,med,no,NA,yes,f,2,1,yes,e,NA,d,borrow,d,c,"Người mặt nạ đen
Kỹ năng đánh bóng bàn",yes,d,a,"Đô rê mon
bảy viên ngọc rồng
cô nan"
506,9.017,43073,9,6,Male,7,0,3,3,yes,c,thợ điện,Engineer,Làm thợ,Worker,Labor,45,UnderHi,Làm ruộng,Farmer,Labor,43,UnderHi,med,yes,4500000,yes,a,2,2,yes,b,NA,a,borrow,a,d,Hạt giống tâm hồn,yes,b,a,"Đô rê mon
Dế mèn phiêu lưu ký
Cô nan"
507,9.025,43073,9,6,Male,7,0,1,3,yes,f,công nhân,Worker,Làm thợ,Worker,Labor,37,UnderHi,Công nhân,Worker,Labor,35,UnderHi,med,yes,NA,yes,c,2,2,yes,e,NA,a,borrow,a,c,"Sáng Chế công cụ
Vũ Nam Tú",yes,a,a,"Sự tích quả dưa hấu
Aladin và cây đèn thần
Alibaba và 40 tên cướp"
508,9.039,43073,9,6,Male,0,0,2,2,yes,f,phi công,Pilot,Làm thợ,Worker,Labor,52,UnderHi,Công nhân,Worker,Labor,43,Hi,med,no,NA,yes,f,1,2,no,d,NA,a,borrow,b,d,"Đô rê mon
7 viên ngọc rồng",yes,a,a,"Shin cậu bé bút chì
Đô rê mon"
509,9.038,43073,9,6,Female,8.5,0,2,2,yes,a,Bác sĩ,Doctor,Công nhân,Worker,Labor,44,UnderHi,Công nhân,Worker,Labor,43,UnderHi,med,no,NA,yes,a,2,2,no,e,NA,a,buy,b,b,NA,yes,d,a,NA
510,9.037,43073,9,6,Male,8,0,1,3,yes,d,luật sư,Lawyer,Làm thợ,Worker,Labor,47,Hi,Công nhân,Worker,Labor,39,Hi,med,no,NA,no,a,3,3,no,a,NA,a,buy,b,a,"Những câu chuyện văn học
Đô rê mon",yes,b,a,"Sherlock Homes
Đô rê mon
Harry Porter"
511,9.036,43073,9,6,Female,9,0,1,3,yes,a,Công an,Police officer,Làm thợ,Worker,Labor,41,UnderHi,Công nhân,Worker,Labor,39,UnderHi,med,no,NA,yes,a,2,1,yes,a,NA,a,buy,b,d,"Truyền thuyết về trái đào
Câu lạc bộ công chúa",yes,b,a,"Cô nan thám tử
Harry Porter
Shin cậu bé bút chì"
512,9.033,43073,9,6,Female,7.5,0,2,3,yes,a,Công an,Police officer,công an,Police officer,Labor,43,UnderHi,giáo viên,Teacher,Intellectuals,37,Uni,med,yes,NA,yes,a,2,1,no,e,NA,a,borrow,b,a,"Quà tặng cuộc sống
Lắng nghe hay nhận một viên đá",yes,b,a,"Những kỳ tích y học
Sherlock Homes
Harry porter"
513,9.032,43073,9,6,Male,8,0,1,2,yes,d,Bác sĩ,Doctor,bộ đội,Soldier,Labor,40,Uni,giáo viên,Teacher,Intellectuals,38,Uni,med,no,NA,yes,b,2,1,yes,c,NA,c,borrow,a,d,"Về chuyện thần đồng
Những kỳ tích y học",yes,b,a,"Harry Porter
Sherlock Homes
Những bí mật thế kỷ"
514,9.031,43073,9,6,Female,8,0,2,4,yes,f,nhân viên văn phòng,Employee,Làm thợ,Worker,Labor,42,UnderHi,Công nhân,Worker,Labor,38,UnderHi,med,no,NA,yes,a,1,1,yes,c,NA,a,borrow,c,a,"Hạt giống tâm hồn
Những kỳ tích y học",yes,d,a,"Shin 
Đô rê mon
Sherlock Homes"
515,9.054,43073,9,6,Male,8,0,1,2,NA,e,chưa xác định,NA,công an,Police officer,Labor,41,Uni,giáo viên,Teacher,Intellectuals,33,Uni,rich,no,NA,yes,b,2,2,no,a,NA,a,borrow,b,d,"Truyện văn học cảm thụ
Đô rê mon",yes,b,a,"Harry Porter
Siêu trộm 
Sherlock Homes"
516,9.057,43073,9,6,Female,0,0,1,3,yes,b,ca sĩ,Singer,Công nhân,Worker,Labor,38,UnderHi,Công nhân,Worker,Labor,34,Hi,rich,yes,NA,no,b,3,3,no,e,NA,a,gift,b,a,"Thời đại của các cô gái
Lớp học ưu tú",yes,d,a,"Sherlock Homes
Harry Porter
Lí thú về thiên nhiên"
517,9.035,43073,9,6,Male,8.5,0,2,2,yes,b,Bác sĩ,Doctor,Công nhân,Worker,Labor,45,Hi,Giáo viên,Teacher,Intellectuals,44,Uni,med,yes,NA,yes,a,2,1,no,a,NA,a,buy,b,d,"Hạt giống tâm hồn
Văn học tuổi trẻ",yes,b,a,"Harry Porter
Shin cậu bé bút chì
Sherlock Homes"
518,9.046,43073,9,6,Female,9,0,1,2,yes,b,ca sĩ,Singer,Làm thợ,Worker,Labor,42,UnderHi,kinh doanh,Businessman,Labor,38,Uni,rich,no,NA,yes,b,2,2,no,a,NA,c,borrow,b,a,"Nghé ọ ơi
Ông trống bà trống",yes,b,a,"Harry Porter
Sherlock Homes
Shin cậu bé bút chì"
519,9.034,43073,9,6,Female,7,0,1,2,yes,b,Giáo viên,Teacher,làm ruộng,Farmer,Labor,38,Hi,Công nhân,Worker,Labor,34,UnderHi,rich,yes,10000000,yes,b,1,2,no,a,NA,a,borrow,a,a,"Lù A Chu
Kỹ năng sống dành cho tuổi học sinh",yes,b,a,"Đô rê mon
Harry Porter
Sherlock Homes"
520,9.055,43073,9,6,Female,6.5,0,3,3,yes,b,nhà văn,Writer,Công nhân,Worker,Labor,50,UnderHi,Công nhân,Worker,Labor,42,UnderHi,med,no,NA,yes,b,1,1,yes,a,NA,a,gift,a,d,"Cô nan
Đô rê mon",yes,b,a,"Sherlock Homes
Cô nan
Harry Porter"
521,9.053,43073,9,6,Female,0,0,1,1,yes,c,Bác sĩ,Doctor,Công nhân,Worker,Labor,38,UnderHi,Công nhân,Worker,Labor,34,UnderHi,med,NA,NA,yes,b,1,1,no,a,NA,a,borrow,b,d,"Tý Quậy
Shin cậu bé bút chì",yes,b,a,"Shin cậu bé bút chì
Harry Porter"
